,hhidpn,ragender
578,12864020,2.female
579,12864030,1.male
580,12887010,2.female
581,12887011,1.male
582,12909020,2.female
583,12909030,1.male
584,12920010,2.female
585,12922010,1.male
586,12922040,2.female
587,12948010,2.female
588,12964010,1.male
589,12964040,2.female
590,12967010,2.female
591,12971020,1.male
592,12971030,2.female
593,12974010,2.female
594,12974020,1.male
595,12974021,2.female
596,12979010,1.male
597,12979020,2.female
598,12981020,2.female
599,12981030,1.male
600,12981031,2.female
601,12985010,1.male
602,12985040,2.female
603,12987010,2.female
604,12987020,1.male
605,13008010,1.male
606,13008040,2.female
607,13054010,1.male
608,13054040,2.female
609,13062010,2.female
610,13062020,1.male
611,13063010,2.female
612,13085010,1.male
613,13085020,2.female
614,13089010,2.female
615,13089020,1.male
616,13137010,2.female
617,13137020,1.male
618,13137021,2.female
619,13140010,2.female
620,13140040,1.male
621,13142010,2.female
622,13142020,1.male
623,13158010,1.male
624,13176010,1.male
625,13176020,2.female
626,13189020,1.male
627,13189030,2.female
628,13193010,1.male
629,13193040,2.female
630,13194010,2.female
631,13194011,1.male
632,13208010,2.female
633,13208040,1.male
634,13211010,1.male
635,13211020,2.female
636,13212010,1.male
637,13216010,2.female
638,13231010,1.male
639,13231020,2.female
640,13238010,1.male
641,13238040,2.female
642,13241010,2.female
643,13241040,1.male
644,13242010,2.female
645,13257010,2.female
646,13286010,2.female
647,13286020,1.male
648,13296010,2.female
649,13305020,1.male
650,13305030,2.female
651,13317010,2.female
652,13317040,1.male
653,13318010,2.female
654,13318020,1.male
655,13331010,1.male
656,13336010,1.male
657,13336020,2.female
658,13344010,1.male
659,13344040,2.female
660,13371010,1.male
661,13371012,2.female
662,13376010,1.male
663,13376020,2.female
664,13387010,1.male
665,13387040,2.female
666,13390010,2.female
667,13390020,1.male
668,13390021,2.female
669,13392020,1.male
670,13392030,2.female
671,13399010,2.female
672,13399040,1.male
673,13418010,1.male
674,13418020,2.female
675,13426010,2.female
676,13433020,1.male
677,13433030,2.female
678,13459010,2.female
679,13465010,1.male
680,13465040,2.female
681,13481010,1.male
682,13483020,2.female
