,hhidpn,r12sayret
717,13601010,
718,13601040,
719,13602020,
720,13602030,
721,13612010,1.completely retired
722,13631010,
723,13631020,
724,13635010,1.completely retired
725,13635020,2.partly retired
726,13637010,
727,13637040,1.completely retired
728,13644010,
729,13652010,
730,13656010,
731,13656040,1.completely retired
732,13671010,1.completely retired
733,13671020,2.partly retired
734,13678010,1.completely retired
735,13678040,1.completely retired
736,13699010,
737,13699040,
738,13706010,
739,13734010,1.completely retired
740,13734020,1.completely retired
741,13738010,1.completely retired
742,13738020,1.completely retired
743,13753010,3.question irrelevant
744,13753020,1.completely retired
745,13757020,
746,13757030,1.completely retired
747,13772020,
748,13772030,
749,13784010,1.completely retired
750,13784040,1.completely retired
751,13794020,
752,13794030,
753,13798010,
754,13798020,
755,13802010,
756,13802020,1.completely retired
757,13808010,1.completely retired
758,13808011,1.completely retired
759,13813010,1.completely retired
760,13813020,
761,13814010,1.completely retired
762,13814040,1.completely retired
763,13815010,1.completely retired
764,13816010,2.partly retired
765,13816040,1.completely retired
766,13817010,1.completely retired
767,13817011,1.completely retired
768,13817040,1.completely retired
769,13817041,1.completely retired
770,13820010,1.completely retired
771,13820020,0.not retired
772,13857010,2.partly retired
773,13857020,3.question irrelevant
774,13858020,
775,13858030,1.completely retired
776,13860010,
777,13860040,
778,13891010,
779,13894010,1.completely retired
780,13894011,2.partly retired
781,13894040,
782,13897010,
783,13899010,
784,13899040,2.partly retired
785,13899041,1.completely retired
786,13902010,1.completely retired
787,13902020,1.completely retired
788,13912010,1.completely retired
789,13912020,1.completely retired
790,13915010,
791,13915011,1.completely retired
792,13916010,0.not retired
793,13916040,1.completely retired
794,13965010,
795,13965020,
796,13974010,1.completely retired
797,14008010,
798,14024020,
799,14024030,
800,14028010,1.completely retired
801,14028020,1.completely retired
802,14033010,1.completely retired
803,14036010,
804,14036040,
805,14038010,
806,14043010,0.not retired
807,14043020,1.completely retired
808,14063010,
809,14063020,
810,14069010,2.partly retired
811,14069020,3.question irrelevant
812,14072010,1.completely retired
813,14072040,0.not retired
814,14080020,
815,14080030,1.completely retired
816,14081010,0.not retired
817,14081040,
818,14085010,1.completely retired
819,14092010,1.completely retired
820,14092040,
821,14098010,2.partly retired
822,14098020,
823,14104010,
824,14104020,0.not retired
825,14115020,1.completely retired
826,14115021,1.completely retired
827,14115030,
828,14121010,
829,14129010,
830,14129020,1.completely retired
831,14136010,
832,14136040,1.completely retired
833,14137010,
834,14137020,
835,14147010,
836,14147040,
837,14149020,1.completely retired
838,14149030,2.partly retired
839,14157010,1.completely retired
840,14157040,
841,14159020,
842,14159030,1.completely retired
843,14167010,1.completely retired
844,14167040,2.partly retired
845,14179010,
846,14179040,
847,14180010,
848,14180020,
849,14188020,2.partly retired
850,14188030,
851,14193010,
852,14193040,2.partly retired
853,14199010,
854,14199020,
855,14201010,
856,14202010,
857,14212010,
858,14212020,
859,14214010,1.completely retired
860,14215020,
861,14215030,1.completely retired
862,14223010,1.completely retired
863,14224010,2.partly retired
864,14224020,
865,14226010,
866,14230010,
867,14230020,
868,14234010,1.completely retired
869,14234011,0.not retired
870,14234040,
871,14234041,1.completely retired
872,14242010,
873,14244020,
874,14244030,
875,14247010,1.completely retired
876,14247040,1.completely retired
877,14251010,1.completely retired
878,14252010,0.not retired
879,14253010,1.completely retired
880,14259020,
881,14259030,0.not retired
882,14270010,
883,14270040,2.partly retired
884,14272010,
885,14272011,1.completely retired
886,14275010,1.completely retired
887,14275020,
888,14283010,
889,14307010,1.completely retired
890,14308010,
891,14320020,
892,14320030,
893,14332010,1.completely retired
894,14332011,2.partly retired
895,14341010,1.completely retired
896,14349010,1.completely retired
897,14349040,2.partly retired
898,14359010,1.completely retired
899,14359020,3.question irrelevant
900,14397010,1.completely retired
901,14397020,1.completely retired
902,14411010,1.completely retired
903,14411020,
904,14420010,1.completely retired
905,14420020,1.completely retired
906,14427010,0.not retired
907,14427040,2.partly retired
908,14427041,0.not retired
909,14428010,
910,14428040,
911,14430010,0.not retired
912,14430020,1.completely retired
913,14433010,
914,14433020,1.completely retired
915,14434020,1.completely retired
916,14434030,1.completely retired
917,14436010,
918,14436020,1.completely retired
919,14436021,1.completely retired
920,14449010,1.completely retired
921,14449040,3.question irrelevant
922,14455010,
923,14455011,1.completely retired
924,14456010,1.completely retired
925,14456020,1.completely retired
926,14458020,
927,14458030,1.completely retired
928,14458031,1.completely retired
929,14468010,
930,14468020,
931,14473010,
932,14473020,
933,14535010,
934,14535011,
935,14539010,
936,14547010,
937,14548010,
938,14553010,
939,14568010,
940,14568020,1.completely retired
941,14571010,
942,14571040,
943,14576010,
944,14578010,
945,14578040,0.not retired
946,14587010,1.completely retired
947,14587011,
948,14597010,
949,14605010,1.completely retired
950,14605040,0.not retired
951,14617010,
952,14617020,1.completely retired
953,14618010,
954,14619010,
955,14619020,1.completely retired
956,14619021,1.completely retired
957,14624010,2.partly retired
958,14624040,2.partly retired
959,14640010,
960,14640011,
961,14648010,
962,14648020,
963,14655020,
964,14655030,1.completely retired
965,14670010,
966,14672010,
967,14672040,2.partly retired
968,14674010,1.completely retired
969,14681010,
970,14681040,
971,14701010,
972,14711010,
973,14711011,
974,14711012,
975,14726010,1.completely retired
976,14726040,2.partly retired
977,14731010,
978,14731020,
979,14736010,
980,14736020,1.completely retired
981,14746010,1.completely retired
982,14748010,
983,14748020,
984,14754010,1.completely retired
985,14754040,1.completely retired
986,14756010,1.completely retired
987,14756040,1.completely retired
988,14758020,0.not retired
989,14758030,0.not retired
990,14768010,
991,14771010,
992,14771020,
993,14782010,
994,14783010,
995,14783040,
996,14787010,1.completely retired
997,14802010,1.completely retired
998,14802020,
999,14803010,
1000,14808010,
1001,14813010,
1002,14823020,
1003,14823030,
1004,14830010,1.completely retired
1005,14830020,1.completely retired
1006,14844010,1.completely retired
1007,14852010,
1008,14852020,1.completely retired
1009,14869010,
1010,14869020,
1011,14872010,1.completely retired
1012,14872020,1.completely retired
1013,14902010,
1014,14912010,
1015,14955010,1.completely retired
1016,14955040,0.not retired
1017,14959010,1.completely retired
1018,14959020,1.completely retired
1019,14981010,1.completely retired
1020,14981011,
1021,14992010,1.completely retired
1022,14996010,
1023,15000010,0.not retired
1024,15000011,0.not retired
1025,15014010,
1026,15014040,
1027,15015020,1.completely retired
1028,15015030,
1029,15018010,
1030,15023010,1.completely retired
1031,15023040,
1032,15037010,
1033,15048010,1.completely retired
1034,15055010,
1035,15055040,
1036,15056020,1.completely retired
1037,15056030,
1038,15059010,
1039,15059020,
1040,15080010,
1041,15080040,1.completely retired
1042,15129010,
1043,15131010,
1044,15133010,
1045,15140010,
1046,15140040,
1047,15148010,1.completely retired
1048,15159010,0.not retired
1049,15172010,1.completely retired
1050,15172020,
1051,15189010,1.completely retired
1052,15189040,
1053,15195010,
1054,15195020,
1055,15200010,
1056,15200040,
1057,15204010,2.partly retired
1058,15204020,1.completely retired
1059,15209010,
1060,15216010,
1061,15225010,1.completely retired
1062,15225020,1.completely retired
1063,15230010,1.completely retired
1064,15230020,1.completely retired
1065,15236010,2.partly retired
1066,15236040,0.not retired
1067,15239010,0.not retired
1068,15257010,
1069,15268020,
1070,15268030,
1071,15293010,
1072,15294010,2.partly retired
1073,15304020,
1074,15304030,
1075,15314010,
1076,15332010,
1077,15332040,1.completely retired
1078,15339010,2.partly retired
1079,15341010,
1080,15341040,
1081,15344010,1.completely retired
1082,15344020,1.completely retired
1083,15346020,
1084,15346030,
1085,15358010,
1086,15358020,
1087,15362010,
1088,15362020,
1089,15372010,1.completely retired
1090,15419010,
1091,15419011,
