,hhidpn,r7lgmusa
855,14201010,
856,14202010,0.0
857,14212010,0.0
858,14212020,1.0
859,14214010,1.0
860,14215020,
861,14215030,0.0
862,14223010,3.0
863,14224010,4.0
864,14224020,0.0
865,14226010,
866,14230010,
867,14230020,
868,14234010,2.0
869,14234011,0.0
870,14234040,
871,14234041,0.0
872,14242010,
873,14244020,0.0
874,14244030,1.0
875,14247010,0.0
876,14247040,0.0
877,14251010,1.0
878,14252010,2.0
879,14253010,
880,14259020,0.0
881,14259030,2.0
882,14270010,2.0
883,14270040,0.0
884,14272010,0.0
885,14272011,1.0
886,14275010,4.0
887,14275020,3.0
888,14283010,
889,14307010,0.0
890,14308010,
891,14320020,
892,14320030,
893,14332010,0.0
894,14332011,
895,14341010,0.0
896,14349010,2.0
897,14349040,0.0
898,14359010,3.0
899,14359020,1.0
900,14397010,0.0
901,14397020,1.0
902,14411010,1.0
903,14411020,
904,14420010,4.0
905,14420020,0.0
906,14427010,0.0
907,14427040,3.0
908,14427041,
909,14428010,4.0
910,14428040,
911,14430010,0.0
912,14430020,0.0
913,14433010,
914,14433020,
915,14434020,3.0
916,14434030,1.0
917,14436010,
918,14436020,0.0
919,14436021,
920,14449010,1.0
921,14449040,0.0
922,14455010,2.0
923,14455011,0.0
924,14456010,0.0
925,14456020,0.0
926,14458020,
927,14458030,0.0
928,14458031,0.0
929,14468010,
930,14468020,
931,14473010,
932,14473020,
933,14535010,4.0
934,14535011,3.0
935,14539010,
936,14547010,
937,14548010,
938,14553010,4.0
939,14568010,0.0
940,14568020,4.0
941,14571010,
942,14571040,
943,14576010,
944,14578010,
945,14578040,
946,14587010,0.0
947,14587011,0.0
948,14597010,
949,14605010,1.0
950,14605040,1.0
951,14617010,0.0
952,14617020,1.0
953,14618010,3.0
954,14619010,
955,14619020,2.0
956,14619021,0.0
957,14624010,0.0
958,14624040,4.0
959,14640010,4.0
960,14640011,
961,14648010,
962,14648020,
963,14655020,
964,14655030,0.0
965,14670010,2.0
966,14672010,
967,14672040,
968,14674010,2.0
969,14681010,
970,14681040,
971,14701010,4.0
972,14711010,1.0
973,14711011,3.0
974,14711012,1.0
975,14726010,1.0
976,14726040,1.0
977,14731010,
978,14731020,
979,14736010,1.0
980,14736020,
981,14746010,0.0
982,14748010,
983,14748020,
984,14754010,0.0
985,14754040,
986,14756010,0.0
987,14756040,1.0
988,14758020,0.0
989,14758030,0.0
990,14768010,
991,14771010,
992,14771020,
993,14782010,0.0
994,14783010,
995,14783040,
996,14787010,1.0
997,14802010,
998,14802020,
999,14803010,
1000,14808010,
1001,14813010,
1002,14823020,
1003,14823030,
1004,14830010,4.0
1005,14830020,3.0
1006,14844010,1.0
1007,14852010,2.0
1008,14852020,1.0
1009,14869010,1.0
1010,14869020,0.0
1011,14872010,2.0
1012,14872020,4.0
1013,14902010,
1014,14912010,
1015,14955010,0.0
1016,14955040,0.0
1017,14959010,3.0
1018,14959020,0.0
1019,14981010,0.0
1020,14981011,
1021,14992010,3.0
1022,14996010,1.0
1023,15000010,0.0
1024,15000011,0.0
1025,15014010,
1026,15014040,
1027,15015020,0.0
1028,15015030,
1029,15018010,
1030,15023010,2.0
1031,15023040,3.0
1032,15037010,
1033,15048010,1.0
1034,15055010,
1035,15055040,
1036,15056020,1.0
1037,15056030,1.0
1038,15059010,
1039,15059020,
1040,15080010,
1041,15080040,3.0
1042,15129010,0.0
1043,15131010,
1044,15133010,
1045,15140010,1.0
1046,15140040,0.0
1047,15148010,2.0
1048,15159010,2.0
1049,15172010,3.0
1050,15172020,4.0
1051,15189010,0.0
1052,15189040,2.0
1053,15195010,
1054,15195020,
1055,15200010,
1056,15200040,
1057,15204010,0.0
1058,15204020,1.0
1059,15209010,3.0
1060,15216010,2.0
1061,15225010,0.0
1062,15225020,2.0
1063,15230010,0.0
1064,15230020,0.0
1065,15236010,0.0
1066,15236040,0.0
1067,15239010,0.0
1068,15257010,3.0
1069,15268020,1.0
1070,15268030,
1071,15293010,2.0
1072,15294010,2.0
1073,15304020,1.0
1074,15304030,2.0
1075,15314010,
1076,15332010,
1077,15332040,2.0
1078,15339010,0.0
1079,15341010,
1080,15341040,0.0
1081,15344010,1.0
1082,15344020,2.0
1083,15346020,1.0
1084,15346030,0.0
1085,15358010,
1086,15358020,1.0
1087,15362010,
1088,15362020,
1089,15372010,1.0
1090,15419010,3.0
1091,15419011,
1092,15419040,
1093,15429010,0.0
1094,15431010,
1095,15436010,1.0
1096,15436020,0.0
1097,15440010,0.0
1098,15440040,0.0
1099,15445010,0.0
1100,15445040,0.0
1101,15447010,0.0
1102,15447020,0.0
1103,15451010,
1104,15451040,
1105,15469010,3.0
1106,15471010,
1107,15497010,3.0
1108,15497040,3.0
1109,15502010,
1110,15511010,1.0
1111,15511040,0.0
1112,15514020,0.0
1113,15514030,0.0
1114,15516010,0.0
1115,15516020,0.0
1116,15536010,0.0
1117,15536011,0.0
1118,15537010,0.0
1119,15537011,4.0
1120,15543010,0.0
1121,15543020,0.0
1122,15551010,0.0
1123,15551020,0.0
1124,15560010,
1125,15560040,1.0
1126,15565020,
1127,15565030,
1128,15566020,
1129,15566030,
1130,15570010,
1131,15570040,0.0
1132,15581010,3.0
1133,15581011,
1134,15588010,
1135,15588040,0.0
1136,15589010,
1137,15591010,4.0
1138,15591020,4.0
1139,15592010,
1140,15593020,2.0
1141,15593030,0.0
1142,15604010,
1143,15618010,
1144,15618040,
1145,15625010,0.0
